Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BAT-SMD_MY-1220-03,132.325,-123.025,25.0,bottom
C1,C,C_0402_1005Metric,142.25,-90.5675,270.0,bottom
D1,LED,LED_0805_2012Metric,143.3125,-96.75,0.0,top
D2,LED,LED_0805_2012Metric,140.4,-79.05,0.0,top
D3,LED,LED_0805_2012Metric,157.55,-83.65,0.0,top
D4,LED,LED_0603_1608Metric,139.4775,-61.7,0.0,top
D5,LED,LED_0603_1608Metric,170.2775,-69.4,0.0,top
D6,LED,LED_0603_1608Metric,135.85,-113.85,0.0,top
D7,LED,LED_0603_1608Metric,127.2125,-130.5,0.0,top
J1,Conn_01x03_Pin,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,123.64885,-136.24885,206.0,bottom
R1,R,R_0402_1005Metric,139.2,-63.775,0.0,bottom
R2,R,R_0402_1005Metric,170.0,-68.0,0.0,bottom
R3,R,R_0402_1005Metric,142.885,-94.75,0.0,bottom
R4,R,R_0402_1005Metric,139.9725,-81.2,0.0,bottom
R5,R,R_0402_1005Metric,157.1225,-81.6,0.0,bottom
R6,R,R_0402_1005Metric,137.2,-100.65,0.0,bottom
R7,R,R_0402_1005Metric,126.935,-132.175,0.0,bottom
SW3,~,SW-TH_K3-1296S-E1,134.023167,-71.375513,177.0,bottom
SW4,~,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,174.675,-63.825,180.0,bottom
U1,ATtiny402-SS,SOIC-8_3.9x4.9mm_P1.27mm,146.775,-88.1825,180.0,bottom
